Date,Price,Open,High,Low,Vol.,Change %
Jun 18 2009,4280.9,4278.5,4305.4,4239.7,,
Jun 17 2009,4278.5,4328.6,4328.7,4254.6,,
Jun 16 2009,4328.6,4326.0,4372.9,4321.6,,
Jun 15 2009,4326.0,4442.0,4442.0,4319.8,,
Jun 12 2009,4442.0,4461.9,4472.0,4427.2,,
Jun 11 2009,4461.9,4436.8,4478.4,4409.1,,
Jun 10 2009,4436.8,4404.8,4505.9,4404.8,,
Jun 09 2009,4404.8,4405.2,4445.5,4387.3,,
Jun 08 2009,4405.2,4438.6,4438.6,4370.5,,
Jun 05 2009,4438.6,4386.9,4495.9,4386.9,,
Jun 04 2009,4386.9,4383.4,4436.3,4359.7,,
Jun 03 2009,4383.4,4477.0,4477.2,4359.3,,
Jun 02 2009,4477.0,4506.2,4506.2,4435.9,,
Jun 01 2009,4506.2,4417.9,4517.6,4417.9,,
May 29 2009,4417.9,4387.5,4469.4,4387.5,,
May 28 2009,4387.5,4416.2,4416.2,4341.1,,
May 27 2009,4416.2,4411.7,4439.8,4390.2,,
May 26 2009,4411.7,4365.3,4423.6,4295.0,,
May 22 2009,4365.3,4345.5,4393.1,4335.0,,
May 21 2009,4345.5,4468.4,4468.4,4325.8,,
May 20 2009,4468.4,4482.3,4504.2,4445.1,,
May 19 2009,4482.3,4446.5,4512.7,4445.5,,
May 18 2009,4446.5,4348.1,4446.5,4307.7,,
May 15 2009,4348.1,4362.6,4400.7,4317.2,,
May 14 2009,4362.6,4331.4,4371.3,4295.2,,
May 13 2009,4331.4,4425.5,4448.0,4328.2,,
May 12 2009,4425.5,4435.5,4457.5,4397.4,,
May 11 2009,4435.5,4462.1,4470.0,4401.5,,
May 08 2009,4462.1,4398.7,4487.5,4398.7,,
May 07 2009,4398.7,4396.5,4520.8,4380.3,,
May 06 2009,4396.5,4336.9,4437.6,4317.0,,
May 05 2009,4336.9,4243.2,4375.4,4243.2,,
May 01 2009,4243.2,4243.7,4251.6,4210.8,,
Apr 30 2009,4243.7,4189.6,4293.6,4189.6,,
Apr 29 2009,4189.6,4096.4,4193.3,4089.5,,
Apr 28 2009,4096.4,4167.0,4167.0,4058.7,,
Apr 27 2009,4167.0,4156.0,4179.2,4088.7,,
Apr 24 2009,4156.0,4018.2,4156.0,4018.2,,
Apr 23 2009,4018.2,4030.7,4082.3,3999.1,,
Apr 22 2009,4030.7,3987.5,4036.0,3948.2,,
Apr 21 2009,3987.5,3990.9,4019.2,3897.3,,
Apr 20 2009,3990.9,4092.8,4112.8,3962.9,,
Apr 17 2009,4092.8,4053.0,4114.3,4043.2,,
Apr 16 2009,4053.0,3968.4,4053.0,3963.6,,
Apr 15 2009,3968.4,3989.0,4023.4,3941.6,,
Apr 14 2009,3989.0,3983.7,4039.7,3939.6,,
Apr 09 2009,3983.7,3925.5,3986.3,3912.0,,
Apr 08 2009,3925.5,3930.5,3940.4,3876.1,,
Apr 07 2009,3930.5,3993.5,4039.5,3909.9,,
Apr 06 2009,3993.5,4029.7,4097.2,3959.6,,
Apr 03 2009,4029.7,4125.0,4132.9,4015.6,,
Apr 02 2009,4125.0,3955.6,4137.9,3955.6,,
Apr 01 2009,3955.6,3926.1,3972.7,3838.2,,
Mar 31 2009,3926.1,3762.9,3930.6,3762.9,,
Mar 30 2009,3762.9,3898.9,3898.9,3762.9,,
Mar 27 2009,3898.9,3925.2,3950.3,3877.6,,
Mar 26 2009,3925.2,3900.3,3929.5,3877.8,,
Mar 25 2009,3900.3,3911.5,3939.2,3853.0,,
Mar 24 2009,3911.5,3952.8,3992.4,3878.4,,
Mar 23 2009,3952.8,3842.9,3978.6,3842.9,,
Mar 20 2009,3842.9,3816.9,3854.9,3777.7,,
Mar 19 2009,3816.9,3805.0,3912.6,3793.7,,
Mar 18 2009,3805.0,3857.1,3901.6,3768.5,,
Mar 17 2009,3857.1,3864.0,3864.0,3793.1,,
Mar 16 2009,3864.0,3753.7,3864.0,3753.7,,
Mar 13 2009,3753.7,3712.1,3816.0,3712.1,,
Mar 12 2009,3712.1,3693.8,3725.6,3616.5,,
Mar 11 2009,3693.8,3715.2,3763.2,3652.0,,
Mar 10 2009,3715.2,3542.4,3726.3,3516.3,,
Mar 09 2009,3542.4,3530.7,3564.8,3460.7,,
Mar 06 2009,3530.7,3529.9,3590.2,3492.1,,
Mar 05 2009,3529.9,3645.9,3645.9,3526.4,,
Mar 04 2009,3645.9,3512.1,3649.5,3512.1,,
Mar 03 2009,3512.1,3625.8,3676.9,3497.3,,
Mar 02 2009,3625.8,3830.1,3830.1,3625.8,,
Feb 27 2009,3830.1,3915.6,3915.6,3760.7,,
Feb 26 2009,3915.6,3849.0,3948.2,3849.0,,
Feb 25 2009,3849.0,3816.4,3884.1,3803.9,,
Feb 24 2009,3816.4,3850.7,3852.3,3772.4,,
Feb 23 2009,3850.7,3889.1,3960.0,3844.9,,
Feb 20 2009,3889.1,4018.4,4018.4,3877.8,,
Feb 19 2009,4018.4,4006.8,4045.2,3983.9,,
Feb 18 2009,4006.8,4034.1,4056.5,3938.1,,
Feb 17 2009,4034.1,4134.8,4134.8,3995.4,,
Feb 16 2009,4134.8,4189.6,4189.6,4127.3,,
Feb 13 2009,4189.6,4202.2,4291.6,4168.0,,
Feb 12 2009,4202.2,4234.3,4234.3,4135.1,,
Feb 11 2009,4234.3,4213.1,4244.5,4182.1,,
Feb 10 2009,4213.1,4307.6,4309.5,4210.5,,
Feb 09 2009,4307.6,4291.9,4334.0,4244.0,,
Feb 06 2009,4291.9,4228.9,4330.7,4225.6,,
Feb 05 2009,4228.9,4228.6,4235.3,4133.5,,
Feb 04 2009,4228.6,4164.5,4262.7,4160.4,,
Feb 03 2009,4164.5,4077.8,4173.2,4043.4,,
Feb 02 2009,4077.8,4149.6,4149.6,4036.9,,
Jan 30 2009,4149.6,4190.1,4228.0,4125.2,,
Jan 29 2009,4190.1,4295.2,4295.2,4147.7,,
Jan 28 2009,4295.2,4194.4,4317.6,4194.4,,
Jan 27 2009,4194.4,4209.0,4211.0,4130.8,,
Jan 26 2009,4209.0,4052.5,4225.2,4039.4,,
Jan 23 2009,4052.5,4052.2,4070.8,3956.7,,
Jan 22 2009,4052.2,4059.9,4153.9,4046.4,,
Jan 21 2009,4059.9,4091.4,4112.8,4001.4,,
Jan 20 2009,4091.4,4108.5,4184.3,4060.6,,
Jan 19 2009,4108.5,4147.1,4251.9,4032.4,,
Jan 16 2009,4147.1,4121.1,4251.7,4121.1,,
Jan 15 2009,4121.1,4180.6,4199.4,4090.9,,
Jan 14 2009,4180.6,4399.1,4426.5,4115.4,,
Jan 13 2009,4399.1,4426.2,4426.2,4321.3,,
Jan 12 2009,4426.2,4448.5,4471.3,4402.3,,
Jan 09 2009,4448.5,4505.4,4534.8,4431.9,,
Jan 08 2009,4505.4,4507.5,4514.7,4410.5,,
Jan 07 2009,4507.5,4638.9,4638.9,4478.0,,
Jan 06 2009,4638.9,4579.6,4675.7,4562.0,,
Jan 05 2009,4579.6,4561.8,4618.1,4520.8,,
Jan 02 2009,4561.8,4434.2,4561.8,4430.0,,
Dec 31 2008,4434.2,4392.7,4456.2,4392.7,,
Dec 30 2008,4392.7,4319.4,4406.1,4319.4,,
Dec 29 2008,4319.4,4216.6,4326.3,4216.6,,
Dec 24 2008,4216.6,4256.0,4256.0,4205.2,,
Dec 23 2008,4256.0,4249.2,4307.1,4244.2,,
Dec 22 2008,4249.2,4286.9,4305.4,4219.8,,
Dec 19 2008,4286.9,4330.7,4330.7,4200.7,,
Dec 18 2008,4330.7,4324.2,4352.7,4282.6,,
Dec 17 2008,4324.2,4309.1,4341.1,4231.1,,
Dec 16 2008,4309.1,4277.6,4330.1,4246.1,,
Dec 15 2008,4277.6,4280.4,4340.7,4238.9,,
Dec 12 2008,4280.4,4388.7,4388.7,4201.9,,
Dec 11 2008,4388.7,4367.3,4430.3,4307.8,,
Dec 10 2008,4367.3,4381.3,4407.1,4330.0,,
Dec 09 2008,4381.3,4300.1,4413.0,4232.6,,
Dec 08 2008,4300.1,4049.4,4318.0,4049.4,,
Dec 05 2008,4049.4,4163.6,4163.6,4002.2,,
Dec 04 2008,4163.6,4170.0,4261.1,4090.0,,
Dec 03 2008,4170.0,4122.9,4190.9,4042.3,,
Dec 02 2008,4122.9,4065.5,4137.1,3973.3,,
Dec 01 2008,4065.5,4288.0,4288.0,4038.4,,
Nov 28 2008,4288.0,4226.1,4288.0,4192.5,,
Nov 27 2008,4226.1,4152.7,4241.7,4152.7,,
Nov 26 2008,4152.7,4171.3,4198.7,4050.7,,
Nov 25 2008,4171.3,4153.0,4268.3,4069.3,,
Nov 24 2008,4153.0,3781.0,4153.1,3781.0,,
Nov 21 2008,3781.0,3875.0,3946.7,3734.1,,
Nov 20 2008,3875.0,4005.7,4005.7,3812.2,,
Nov 19 2008,4005.7,4208.5,4213.2,3999.1,,
Nov 18 2008,4208.5,4132.2,4208.5,4033.4,,
Nov 17 2008,4132.2,4233.0,4236.4,4110.7,,
Nov 14 2008,4233.0,4169.2,4342.3,4169.2,,
Nov 13 2008,4169.2,4182.0,4198.7,4079.6,,
Nov 12 2008,4182.0,4246.7,4333.4,4134.5,,
Nov 11 2008,4246.7,4403.9,4403.9,4231.5,,
Nov 10 2008,4403.9,4365.0,4524.9,4365.0,,
Nov 07 2008,4365.0,4272.4,4408.1,4263.8,,
Nov 06 2008,4272.4,4530.7,4530.7,4260.3,,
Nov 05 2008,4530.7,4639.5,4639.5,4495.7,,
Nov 04 2008,4639.5,4443.3,4639.5,4404.2,,
Nov 03 2008,4443.3,4377.3,4443.3,4348.3,,
Oct 31 2008,4377.3,4291.6,4383.9,4195.1,,
